,职位名,公司名,薪资,发布日期,工作时间/学历,地点,技术栈,详情页
82,SEM/SEO优化,金鼎地产,8-12K,发布于06月24日,1-3年/大专,北京,SEO/操作账户/sem优化/着陆页/落地页,https://www.zhipin.com//job_detail/84aa8fd22cf8b4000H160tW9ElA~.html
83,python工程师,爱语吧,10-15K·13薪,发布于06月24日,1-3年/本科,北京,Django框架/python开发工程师/Scrapy/精通python/Django,https://www.zhipin.com//job_detail/cecd0cf4726da4f433Z42Nm7GFs~.html
84,Python web 开发工程师,轩辕传媒,15-20K,发布于06月24日,1-3年/大专,北京,网络爬虫技术/分布式技术/Odoo/python开发/精通python,https://www.zhipin.com//job_detail/f452c537d90bd68e33B43961EVE~.html
85,爬虫工程师,融汇金信,20-30K,发布于06月24日,1-3年/硕士,北京,Java/爬虫开发/网页抓取/爬虫工程师/爬虫系统,https://www.zhipin.com//job_detail/e734f59e92474c070HZ939q8F1U~.html
86,售后工程师,智慧星光,8-12K,发布于06月24日,1-3年/本科,北京,分布式技术/熟悉python/Kafka/爬虫/计算机语言,https://www.zhipin.com//job_detail/7c3df80623be700533B50tu_FVE~.html
87,python抓取爬虫工程师,微播易,10-15K,发布于06月25日,1-3年/本科,北京,爬虫工程师/爬虫框架/爬虫开发/网页抓取/Scrapy,https://www.zhipin.com//job_detail/e8c31c0c1b0d74db33d_3926E1A~.html
88,数据分析助教,开课吧,10-12K,发布于16:32,1-3年/本科,北京,数据分析/提高学习/热爱教育/助教/学习服务,https://www.zhipin.com//job_detail/46fbc94aeae6276b0HJ42du7EFE~.html
89,Scraping Engineer (爬虫工程师),上镜公司,12-20K,发布于昨天,1-3年/本科,北京,网络爬虫技术/Python/Scrapy/爬虫工程师/Cloud,https://www.zhipin.com//job_detail/0a80006cb472dde10Xxy0925FlQ~.html
90,数据开发岗,浩远科博,10-15K,发布于昨天,1-3年/本科,北京·朝阳区,Informatica/Flume/HDFS/Kettle/ETL,https://www.zhipin.com//job_detail/a75b11e75df8553733B40ty_FFU~.html
91,JAVA（数据维护）,浩远科博,12-16K,发布于昨天,1-3年/本科,北京·朝阳区,Hadoop/Spring/ETL/网络爬虫技术/MySQL,https://www.zhipin.com//job_detail/ae74737aa9f5c89433B40ty4Elo~.html
